K,inertia,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
8,3166.223633,0.157111,2.022358,583.164363,0.662827,0.418383
9,3081.059326,0.156481,2.031502,544.055516,0.675121,0.464681
10,3008.445557,0.152349,1.996307,510.536830,0.684805,0.507973
11,2950.253174,0.150035,2.089627,479.748712,0.692515,0.548499
12,2890.746582,0.105285,2.198443,455.739576,0.700039,0.312129
13,2840.670166,0.104566,2.191263,433.452862,0.706570,0.364229
14,2790.821045,0.104365,2.146295,415.042426,0.712756,0.404984
15,2741.895264,0.105191,2.146980,399.491305,0.719147,0.431803
16,2703.417480,0.104944,2.123859,383.523073,0.724119,0.462930
17,2669.013916,0.103697,2.092662,368.727904,0.727777,0.388156
18,2634.041504,0.102874,2.108405,356.046902,0.731935,0.408224
19,2605.124512,0.103753,2.114330,343.462729,0.735066,0.365810
20,2566.698730,0.104325,2.054266,334.699835,0.740180,0.468460
21,2538.252686,0.103269,2.089220,324.673699,0.743144,0.394273
22,2511.593994,0.103216,2.102478,315.324906,0.746926,0.494963
23,2488.498779,0.103338,2.116668,306.140667,0.749220,0.429395
24,2464.027100,0.103332,2.110519,298.151306,0.752367,0.440297
25,2445.031006,0.102487,2.116238,289.745286,0.754777,0.471181
26,2420.556885,0.100935,2.108777,283.226352,0.757101,0.428786
27,2401.195801,0.101185,2.102493,276.249998,0.759590,0.424329
28,2379.711670,0.100389,2.102857,270.280281,0.762093,0.464259
29,2360.360840,0.096297,2.075894,264.388024,0.764294,0.388053
30,2342.765869,0.096272,2.108579,258.620111,0.766546,0.399590
31,2323.919434,0.095723,2.072687,253.523565,0.768210,0.403740
32,2300.930664,0.101668,2.062240,249.590233,0.771108,0.446336
33,2288.330322,0.098257,2.102485,244.059934,0.772625,0.454194
34,2269.312744,0.099765,2.064013,240.052634,0.774865,0.457850
35,2258.015625,0.097300,2.051359,234.955187,0.775966,0.447321
36,2244.714600,0.090053,2.090624,230.518589,0.777742,0.427282
37,2234.828613,0.098705,2.119090,225.767009,0.778877,0.498751
38,2217.153320,0.095915,2.068419,222.604371,0.780656,0.435616
39,2198.524902,0.100933,2.073194,219.813863,0.783000,0.490316
40,2191.537598,0.083935,2.135432,215.288078,0.783504,0.406451
41,2178.474854,0.096845,2.088473,211.980477,0.785006,0.457094
42,2166.448242,0.094980,2.103838,208.692242,0.786629,0.524001
43,2154.665771,0.089698,2.094181,205.542087,0.787769,0.428685
44,2142.179932,0.087895,2.069539,202.667712,0.789000,0.412797
45,2130.913574,0.093126,2.076145,199.757158,0.790475,0.478360
46,2123.911865,0.085745,2.114940,196.343993,0.791208,0.389516
47,2108.929199,0.090021,2.095648,194.284273,0.792712,0.417225
48,2101.010498,0.094213,2.091928,191.289540,0.793726,0.540987
49,2090.440674,0.089192,2.062736,188.816822,0.794859,0.459399
50,2082.141846,0.086118,2.126980,186.130155,0.795673,0.436241
51,2076.080322,0.091195,2.129760,183.239681,0.796549,0.506358
52,2064.957764,0.091211,2.103305,181.182513,0.797606,0.459830
53,2055.008545,0.088650,2.102406,179.055847,0.798693,0.465164
54,2051.915283,0.084474,2.114680,176.072833,0.799094,0.481193
55,2039.897461,0.088709,2.100725,174.418985,0.800426,0.470449
56,2031.774780,0.088973,2.097790,172.314673,0.801318,0.475735
57,2023.038940,0.081893,2.101745,170.376081,0.802033,0.426326
58,2015.144531,0.090726,2.073755,168.403112,0.803099,0.450933
59,2003.945068,0.086283,2.089558,166.941849,0.804363,0.439228
60,2002.159546,0.086430,2.097515,164.315423,0.804406,0.447906
