component,var_ratio,cum_var
1,0.12457451,0.12457451
2,0.07371745,0.19829196
3,0.06833200,0.26662397
4,0.05361325,0.32023722
5,0.04902722,0.36926444
6,0.04076515,0.41002958
7,0.03883173,0.44886131
8,0.03014993,0.47901124
9,0.02764815,0.50665939
10,0.02570686,0.53236625
11,0.02109301,0.55345926
12,0.01921519,0.57267444
13,0.01836266,0.59103711
14,0.01701250,0.60804961
15,0.01438842,0.62243803
16,0.01363802,0.63607605
17,0.01303269,0.64910874
18,0.01205257,0.66116131
19,0.01162611,0.67278742
20,0.01111199,0.68389941
21,0.01037826,0.69427767
22,0.00984030,0.70411797
23,0.00957030,0.71368827
24,0.00868558,0.72237385
25,0.00822556,0.73059941
26,0.00799548,0.73859489
27,0.00785985,0.74645474
28,0.00760407,0.75405882
29,0.00733102,0.76138984
30,0.00724538,0.76863521
31,0.00690038,0.77553559
32,0.00673965,0.78227524
33,0.00642008,0.78869532
34,0.00616795,0.79486327
35,0.00607850,0.80094178
36,0.00590753,0.80684931
37,0.00572986,0.81257917
38,0.00535784,0.81793701
39,0.00524862,0.82318563
40,0.00508672,0.82827235
41,0.00499437,0.83326672
42,0.00490486,0.83817158
43,0.00456440,0.84273598
44,0.00451102,0.84724700
45,0.00441067,0.85165767
46,0.00414840,0.85580608
47,0.00412066,0.85992674
48,0.00396730,0.86389403
49,0.00391928,0.86781331
50,0.00377184,0.87158515
51,0.00369470,0.87527985
52,0.00360120,0.87888104
53,0.00346389,0.88234493
54,0.00342804,0.88577297
55,0.00330998,0.88908295
56,0.00324457,0.89232752
57,0.00315126,0.89547878
58,0.00297339,0.89845218
59,0.00294071,0.90139289
60,0.00288394,0.90427683
61,0.00281570,0.90709253
62,0.00277059,0.90986312
63,0.00272109,0.91258420
64,0.00267993,0.91526413
65,0.00262941,0.91789354
66,0.00259954,0.92049308
67,0.00249966,0.92299274
68,0.00242143,0.92541418
69,0.00236086,0.92777504
70,0.00227739,0.93005243
71,0.00224449,0.93229692
72,0.00220553,0.93450245
73,0.00216151,0.93666396
74,0.00210153,0.93876549
75,0.00203678,0.94080227
76,0.00202695,0.94282922
77,0.00184849,0.94467771
78,0.00179799,0.94647570
79,0.00178034,0.94825604
80,0.00169843,0.94995447
81,0.00167748,0.95163195
82,0.00166436,0.95329630
83,0.00159787,0.95489417
84,0.00159497,0.95648914
85,0.00153617,0.95802532
86,0.00148176,0.95950708
87,0.00145555,0.96096263
88,0.00145112,0.96241375
89,0.00136389,0.96377764
90,0.00132889,0.96510653
91,0.00131878,0.96642531
92,0.00129450,0.96771982
93,0.00124058,0.96896040
94,0.00121984,0.97018024
95,0.00119856,0.97137881
96,0.00115650,0.97253531
97,0.00111739,0.97365270
98,0.00110471,0.97475741
99,0.00107989,0.97583730
100,0.00104858,0.97688589
101,0.00100735,0.97789324
102,0.00096178,0.97885502
103,0.00091501,0.97977003
104,0.00090084,0.98067087
105,0.00086896,0.98153983
106,0.00082731,0.98236714
107,0.00081858,0.98318572
108,0.00080508,0.98399080
109,0.00077716,0.98476797
110,0.00074191,0.98550988
111,0.00070098,0.98621086
112,0.00067217,0.98688303
113,0.00065068,0.98753371
114,0.00064538,0.98817908
115,0.00060923,0.98878832
116,0.00059339,0.98938171
117,0.00057369,0.98995540
118,0.00056280,0.99051820
119,0.00054387,0.99106207
120,0.00049536,0.99155743
121,0.00047479,0.99203222
122,0.00045502,0.99248724
123,0.00043567,0.99292291
124,0.00041907,0.99334198
125,0.00040920,0.99375117
126,0.00039221,0.99414339
127,0.00035684,0.99450023
128,0.00032033,0.99482056
129,0.00030873,0.99512928
130,0.00029644,0.99542572
131,0.00027309,0.99569881
132,0.00025982,0.99595863
133,0.00024663,0.99620526
134,0.00022722,0.99643248
135,0.00020402,0.99663650
136,0.00020023,0.99683673
137,0.00018943,0.99702616
138,0.00017731,0.99720346
139,0.00016583,0.99736930
140,0.00015241,0.99752171
141,0.00014283,0.99766454
142,0.00013532,0.99779986
143,0.00012470,0.99792456
144,0.00011445,0.99803901
145,0.00011100,0.99815001
146,0.00010835,0.99825837
147,0.00010306,0.99836142
148,0.00009415,0.99845558
149,0.00009062,0.99854619
150,0.00008310,0.99862930
151,0.00007695,0.99870625
152,0.00007400,0.99878025
153,0.00007033,0.99885059
154,0.00006649,0.99891707
155,0.00006236,0.99897943
156,0.00005686,0.99903630
157,0.00005116,0.99908746
158,0.00004968,0.99913714
159,0.00004538,0.99918252
160,0.00004350,0.99922601
161,0.00004088,0.99926690
162,0.00003869,0.99930559
163,0.00003607,0.99934166
164,0.00003320,0.99937486
165,0.00003166,0.99940652
166,0.00002917,0.99943569
167,0.00002803,0.99946371
168,0.00002582,0.99948954
169,0.00002432,0.99951386
170,0.00002347,0.99953733
171,0.00002170,0.99955904
172,0.00002072,0.99957976
173,0.00001944,0.99959920
174,0.00001739,0.99961658
175,0.00001696,0.99963354
176,0.00001678,0.99965031
177,0.00001507,0.99966538
178,0.00001402,0.99967940
179,0.00001307,0.99969247
180,0.00001272,0.99970520
181,0.00001212,0.99971731
182,0.00001163,0.99972894
183,0.00001042,0.99973936
184,0.00001034,0.99974970
185,0.00000975,0.99975945
186,0.00000918,0.99976863
187,0.00000872,0.99977735
188,0.00000806,0.99978541
189,0.00000791,0.99979332
190,0.00000769,0.99980101
191,0.00000708,0.99980809
192,0.00000670,0.99981479
193,0.00000651,0.99982130
194,0.00000641,0.99982771
195,0.00000599,0.99983370
196,0.00000573,0.99983943
197,0.00000523,0.99984466
198,0.00000504,0.99984970
199,0.00000491,0.99985461
200,0.00000452,0.99985913
