term_a,term_b,count,npmi
air,burp issue,15,0.09750429477402475
burp except,gurgle,13,0.2062772420286453
gurgle,symptom,358,0.15143830679505144
retrograde cricopharyngeus dysfunction,throat,13,0.09282821435856518
abdomen,throat,62,0.13408431407153018
bloating,burp,864,0.14234978555098765
bloating,chest,86,0.17192431800171765
bloating,cough,41,0.11282406441091468
bloating,pass gas,29,0.2839004861184418
bloating,puke,12,0.023484076940293218
bloating,vomit,81,0.0756078596775435
burp,chest,823,0.1546961828763182
burp,cough,533,0.13421563066126121
burp,gag reflex,141,0.07320125807415959
burp,painful gas,10,0.12560400816302147
burp,pass gas,89,0.10773420266703806
burp,puke,300,0.1145633175639526
burp,rarely vomit,11,0.12282483980305312
burp,vomit,1365,0.1410698567266082
chest,cough,60,0.18284918196196592
chest,gag reflex,22,0.17151771663172288
chest,puke,39,0.18549901657351014
chest,vomit,108,0.1354193236850044
cough,gag reflex,19,0.19578260693529598
cough,puke,34,0.2125555028981388
cough,vomit,104,0.18331985756495303
gag reflex,puke,11,0.18283196248278857
gag reflex,vomit,81,0.28962339768079726
puke,vomit,117,0.2780248041380782
rarely vomit,vomit,10,0.3429306976270582
condition,experience,395,0.1667720548489049
croaking,gas,28,0.18214762193448203
accidentally burp,burp,32,0.13732090329728128
alcohol,carbonated drink,37,0.30374544593517516
alcohol,cocktail,19,0.39912278723335975
alcohol,drink,283,0.38939455420043556
alcohol,soda,33,0.2542773815885559
burp,feel the gas,60,0.1561931427166437
burp,gas,888,0.1390102136582192
burp,gassy,303,0.13704561948038485
burp,much gas,98,0.1315738622912171
burp,nausea etc.,16,0.09629019275438096
burp,symptom,1593,0.12446552256908719
carbonated drink,drink,133,0.3099145844523725
carbonated drink,soda,23,0.2592973217397165
cocktail,drink,42,0.3355442241314621
drink,milk,43,0.2606599278751972
drink,product,12,0.1254312867417945
drink,soda,204,0.3553727335751542
feel the gas,gas,23,0.3374719027871704
gas,gassy,74,0.28086568055125116
gas,much gas,36,0.3197077431263889
gas,symptom,158,0.1375518728712986
gassy,symptom,50,0.12542631416718647
much gas,symptom,26,0.18457544895465292
nausea etc.,symptom,10,0.24735215065471322
burp properly,gurgle,13,0.11143925766980183
gas,gurgle,230,0.18597258102519504
gas,proper burp,12,0.13373398373097603
gurgle,proper burp,34,0.1737836987222338
gurgle,similar symptom,15,0.14451494465703493
chest,shortness of breath,38,0.26710693628839194
chest,symptom,180,0.18497136694076388
cough,shortness of breath,14,0.17176114777623047
cough,symptom,76,0.10057262435007693
shortness of breath,symptom,60,0.22594638309440254
burp,burp instead,54,0.1552965972075759
burp,croak,356,0.14922199052927596
burp,feeling,127,0.11637036080714595
burp,burp normally,186,0.14853264918469827
burp,micro burp,801,0.18753996253191202
burp,pain,1267,0.12959462892538373
burp,pressure,689,0.14549590730236062
burp,regular burp,59,0.1363017128442938
burp normally,micro burp,10,0.1168260682958552
burp normally,pain,16,0.08464513341478878
burp normally,pressure,20,0.1993167298140961
drink,eat or drink,88,0.1968076880869417
drink,turn,264,0.17828089896402646
eat or drink,turn,55,0.17589471248140484
micro burp,pain,100,0.15536715501314682
micro burp,pressure,53,0.16032028018857936
pain,pressure,141,0.206521186383768
swallow,swallow a lot,20,0.2681803505540995
swallow,swallow problem,23,0.30984450768687677
swallow,throat feel,46,0.2979022906560816
swallow,trouble swallow,34,0.26721310812677085
air,air come,160,0.2909145345318878
air,burp,2631,0.20624053621864094
air,chest pain,47,0.14564968259863695
air,croak,120,0.21541765421734965
air,force the air,35,0.2656612995551071
air,gag,274,0.2442878498717146
air,vomit,383,0.1862946463923162
air come,burp,318,0.1544154178134171
air come,croak,20,0.2217449354311837
