K,inertia,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
3,5481.950195,0.109334,2.439855,806.366967,0.447459,0.132172
4,5167.189453,0.114118,2.455786,713.355188,0.501649,0.190772
5,4925.065918,0.122155,2.370295,647.848751,0.541133,0.243293
6,4728.061035,0.123064,2.406350,598.515580,0.564517,0.271260
7,4594.716309,0.117277,2.416558,547.240102,0.581875,0.269708
8,4477.992188,0.116426,2.302604,507.451144,0.598123,0.306408
9,4393.178223,0.110485,2.387428,469.523957,0.608401,0.347128
10,4321.583984,0.107123,2.363605,437.171216,0.616880,0.409687
11,4252.178711,0.106158,2.345897,411.311944,0.624698,0.458450
12,4184.798340,0.106413,2.385693,390.191261,0.633407,0.469016
13,4125.019043,0.107235,2.361988,371.307805,0.640338,0.522907
14,4067.402832,0.086121,2.437766,355.220235,0.646343,0.362673
15,4018.741455,0.087035,2.394210,339.880498,0.651850,0.392300
16,3966.784424,0.088263,2.412769,327.474702,0.657852,0.408093
17,3925.964355,0.086823,2.411543,314.727266,0.662009,0.336666
18,3884.559082,0.087003,2.389133,303.738932,0.666748,0.440530
19,3840.055176,0.086445,2.375504,294.676230,0.671334,0.365298
20,3809.279053,0.082382,2.364992,284.372557,0.674288,0.391086
21,3779.998779,0.083152,2.358142,274.931053,0.677827,0.402538
22,3740.367188,0.079604,2.404409,268.122842,0.681676,0.362225
23,3713.274902,0.081373,2.383723,260.097112,0.684536,0.337691
24,3685.479004,0.077793,2.406118,252.933886,0.687415,0.384516
25,3658.051514,0.078000,2.391309,246.372770,0.690110,0.381764
26,3628.720703,0.079705,2.348548,240.667428,0.693880,0.453423
27,3605.471191,0.078953,2.330315,234.612356,0.695677,0.393232
28,3570.499268,0.082435,2.273881,230.651476,0.699543,0.384291
29,3548.717041,0.079888,2.312865,225.286841,0.701786,0.420798
30,3526.905029,0.078415,2.302522,220.329865,0.703415,0.343943
