K,inertia,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
3,5094.816406,0.144456,2.048132,1153.410739,0.515451,0.111647
4,4640.746094,0.151460,1.892969,1073.920957,0.577132,0.199027
5,4263.219238,0.166455,1.758334,1032.651832,0.626227,0.254812
6,4012.875732,0.165154,1.821143,965.448456,0.653798,0.238630
7,3831.395508,0.154568,1.828044,898.146799,0.673100,0.227420
8,3700.908691,0.150299,1.820161,832.348364,0.686831,0.234020
9,3582.628174,0.143924,1.832579,781.308446,0.699174,0.201693
10,3475.067627,0.143118,1.820924,740.111026,0.710382,0.207387
11,3384.612305,0.145706,1.760389,702.620570,0.719671,0.297930
12,3298.333252,0.144022,1.776263,672.102945,0.728526,0.331625
13,3218.871582,0.142436,1.785627,645.694933,0.736161,0.363627
14,3138.427002,0.137521,1.811891,625.092218,0.743838,0.289351
15,3070.132568,0.138136,1.764044,604.451696,0.750389,0.320308
16,3013.643555,0.138364,1.752411,583.441628,0.755713,0.322271
17,2960.596924,0.135962,1.759842,564.578606,0.760662,0.307121
18,2915.644531,0.138623,1.741911,545.859413,0.764761,0.346458
19,2865.719727,0.130858,1.777422,531.247438,0.769278,0.288268
20,2822.386475,0.125933,1.807143,516.624032,0.773095,0.251861
21,2782.240723,0.126102,1.806382,502.876283,0.776812,0.284126
22,2742.421387,0.132541,1.743298,490.679051,0.780420,0.296228
23,2705.409424,0.132476,1.732939,479.083164,0.783695,0.308603
24,2670.277832,0.134494,1.711974,468.236371,0.787100,0.343934
25,2631.055908,0.134044,1.700630,459.715990,0.790555,0.322564
26,2598.430908,0.128817,1.720050,450.334223,0.793442,0.298012
27,2574.596680,0.128371,1.713201,439.460712,0.795577,0.323315
28,2537.122314,0.128712,1.712782,433.216232,0.798958,0.314959
29,2507.839111,0.127276,1.712807,425.490741,0.801554,0.317831
30,2482.327881,0.126955,1.697634,417.471099,0.803834,0.317747
