component,var_ratio,cum_var
1,0.19671680,0.19671680
2,0.10770918,0.30442598
3,0.09303704,0.39746302
4,0.07576627,0.47322929
5,0.05913773,0.53236702
6,0.05151931,0.58388633
7,0.03912660,0.62301294
8,0.03175491,0.65476784
9,0.02830728,0.68307513
10,0.02731384,0.71038897
11,0.02323724,0.73362621
12,0.02018125,0.75380746
13,0.01717451,0.77098197
14,0.01461285,0.78559482
15,0.01350885,0.79910367
16,0.01161264,0.81071631
17,0.01014198,0.82085829
18,0.00923810,0.83009639
19,0.00838935,0.83848574
20,0.00813921,0.84662496
21,0.00751877,0.85414372
22,0.00694776,0.86109148
23,0.00659126,0.86768274
24,0.00626272,0.87394546
25,0.00586045,0.87980592
26,0.00549693,0.88530284
27,0.00533467,0.89063751
28,0.00512639,0.89576390
29,0.00490273,0.90066663
30,0.00479677,0.90546340
31,0.00438007,0.90984347
32,0.00413567,0.91397914
33,0.00393410,0.91791324
34,0.00375597,0.92166921
35,0.00357542,0.92524463
36,0.00341151,0.92865614
37,0.00328667,0.93194281
38,0.00304355,0.93498636
39,0.00298483,0.93797119
40,0.00275547,0.94072666
41,0.00267974,0.94340640
42,0.00261783,0.94602424
43,0.00253344,0.94855768
44,0.00222244,0.95078012
45,0.00219373,0.95297384
46,0.00211599,0.95508984
47,0.00199684,0.95708668
48,0.00192693,0.95901361
49,0.00188040,0.96089401
50,0.00177128,0.96266529
51,0.00167715,0.96434244
52,0.00161263,0.96595507
53,0.00156005,0.96751512
54,0.00148016,0.96899528
55,0.00140742,0.97040270
56,0.00130096,0.97170366
57,0.00125033,0.97295398
58,0.00121958,0.97417357
59,0.00116952,0.97534308
60,0.00116485,0.97650793
