dim,T@15,T@30,T@50,C@15,C@30,C@50,Q_NX@15,Jacc@15,Q_NX@30,Jacc@30,Q_NX@50,Jacc@50,LCMC_AUC@Kmax,LCMC_k_at_max,Spearman_rho,Pearson_r,Stress1_norm
4,0.9693588674935434,0.9639427729595259,0.95882095767082,0.9727780393416484,0.9657790775606903,0.9597124819944506,0.2880782069623272,0.18080392047802837,0.3187376524286396,0.20128930011314805,0.3416738197424893,0.21761401678240924,0.29229488582673124,50,0.6142600375205297,0.6172497970336422,0.32160088592453867
6,0.9745960279120643,0.969095109864734,0.9637743230596902,0.9742528311332138,0.9674094097508525,0.9614489282845889,0.2989100074936985,0.18791851454848513,0.3298044825941822,0.20889261451057825,0.3508440629470673,0.22387075662790215,0.3032152535609065,50,0.6121218591277602,0.6115216224677351,0.323035002404536
8,0.9747484969357951,0.9691799897929652,0.9637386340273375,0.9742351786247478,0.9673620789202539,0.9613878475089063,0.3007834321139043,0.18938863860751592,0.3295387969207712,0.20859383386888944,0.3508563253627631,0.22393608020017933,0.303919883587021,50,0.6098489398179383,0.6076867565603986,0.3255148942579205
12,0.9745005175001231,0.9690528188716695,0.9637407536364972,0.974272089239829,0.9674467623186007,0.9614855940924466,0.29954356563798623,0.18850951234341382,0.3281218066625792,0.20752314198266608,0.3506764765992234,0.22375783403153232,0.30338936921317766,50,0.610790137375703,0.6103685063105327,0.3235245981204201
16,0.9749766398029373,0.9691613638655028,0.9636837799061073,0.9741227546562922,0.9672564580952704,0.9612382425857641,0.3005654336126439,0.1893366960303163,0.32976020164861364,0.20887856257634616,0.3512098916819946,0.2242594061342956,0.3042103693013231,50,0.6098445175642395,0.6092204797733033,0.32455694164099413
20,0.9748806730410657,0.9693355435461808,0.9639251815219204,0.9741614271728626,0.9672954276633486,0.9612984892822987,0.3011172423189591,0.18952576094834997,0.3303120103549288,0.20935084795096343,0.3514980584508482,0.22442649814445748,0.30445997552061305,50,0.6089254574439482,0.6063368582012078,0.32650084646652533
25,0.9748684625404078,0.9694056658985181,0.9639681558557391,0.9742443356280129,0.9673678545209142,0.9613958787040136,0.3002043735949316,0.18894019013729554,0.3300088561891137,0.20895471528338466,0.35132638463110566,0.22425180880486006,0.30412266639616664,50,0.6112671560492197,0.6111155938909267,0.3232959476080836
30,0.9747464140542326,0.9691615159838297,0.9637726620572586,0.9741013117918303,0.9672235526281275,0.9612003480738776,0.3004359970025206,0.1891058770913749,0.3295081408815314,0.20858115489330797,0.35088085019415494,0.2238904307383855,0.30365184249686616,50,0.6098013124024659,0.6081472139298784,0.32537101203596464
