component,var_ratio,cum_var
1,0.15179366,0.15179366
2,0.08566631,0.23745997
3,0.07687473,0.31433470
4,0.06518427,0.37951897
5,0.05711669,0.43663566
6,0.04898606,0.48562172
7,0.03608029,0.52170201
8,0.03092943,0.55263144
9,0.02845950,0.58109094
10,0.02709874,0.60818968
11,0.02185136,0.63004104
12,0.02058702,0.65062805
13,0.01920421,0.66983227
14,0.01639823,0.68623050
15,0.01328228,0.69951278
16,0.01220794,0.71172072
17,0.01168970,0.72341042
18,0.01111113,0.73452155
19,0.01007401,0.74459556
20,0.00963304,0.75422860
21,0.00921078,0.76343938
22,0.00877599,0.77221537
23,0.00825319,0.78046856
24,0.00805549,0.78852405
25,0.00764467,0.79616872
26,0.00709100,0.80325972
27,0.00686713,0.81012685
28,0.00661470,0.81674155
29,0.00641574,0.82315728
30,0.00623579,0.82939307
31,0.00609460,0.83548767
32,0.00585275,0.84134043
33,0.00555860,0.84689902
34,0.00532327,0.85222229
35,0.00490823,0.85713052
36,0.00469896,0.86182948
37,0.00452464,0.86635412
38,0.00439440,0.87074852
39,0.00414655,0.87489507
40,0.00408136,0.87897643
41,0.00393516,0.88291159
42,0.00370735,0.88661894
43,0.00365911,0.89027805
44,0.00360517,0.89388321
45,0.00337698,0.89726019
46,0.00333765,0.90059784
47,0.00322023,0.90381807
48,0.00311682,0.90693489
49,0.00296942,0.90990431
50,0.00293427,0.91283858
51,0.00290433,0.91574291
52,0.00269776,0.91844067
53,0.00262913,0.92106981
54,0.00257087,0.92364068
55,0.00251330,0.92615398
56,0.00240516,0.92855914
57,0.00232922,0.93088836
58,0.00225527,0.93314363
59,0.00217550,0.93531913
60,0.00208898,0.93740811
