K,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
3,0.273824,1.273343,4022.456767,2.285014,0.240868
4,0.285882,1.229763,4063.456850,2.371740,0.440313
5,0.280049,1.211124,4054.689675,2.566213,0.352793
6,0.277295,1.182480,3869.727543,2.668746,0.373456
7,0.284002,1.133879,3880.274213,2.729965,0.409853
8,0.286596,1.251523,3829.886631,2.810708,0.208273
9,0.292423,1.136122,3736.262430,2.840753,0.364888
10,0.291609,1.081644,3659.169285,2.878945,0.424374
11,0.296525,1.123010,3632.160041,2.916157,0.387374
12,0.295120,1.095961,3592.906801,2.929917,0.449198
13,0.299890,1.062180,3574.189368,2.952560,0.478745
14,0.299865,1.056537,3594.385258,2.981228,0.452254
15,0.307081,1.057650,3586.180338,3.014855,0.428931
16,0.291446,1.114474,3553.881619,3.031693,0.353389
17,0.282779,1.135208,3486.722174,3.040526,0.333572
18,0.281170,1.163484,3434.835751,3.041162,0.317576
19,0.276217,1.153276,3389.999035,3.047038,0.312588
20,0.278946,1.161786,3349.319654,3.055602,0.267595
21,0.279366,1.151679,3317.823187,3.069013,0.283432
22,0.283160,1.163557,3296.109921,3.074863,0.301873
23,0.276291,1.151116,3274.733352,3.083592,0.300431
24,0.280422,1.145926,3239.096848,3.091123,0.313713
25,0.275731,1.130127,3207.066797,3.098216,0.343551
26,0.274953,1.121354,3179.910193,3.102782,0.375697
27,0.274107,1.137656,3148.875127,3.104550,0.367112
28,0.272411,1.123477,3123.130137,3.105385,0.379446
29,0.276634,1.099699,3100.460201,3.110081,0.408226
30,0.279244,1.092216,3080.667504,3.115347,0.424684
