K,inertia,silhouette,davies_bouldin,calinski_harabasz,cohesion_mean,size_imbalance
3,6873.686523,0.166889,2.079972,1669.452748,0.521256,0.069497
4,6429.303223,0.167710,2.127695,1415.146114,0.570112,0.252061
5,6100.753418,0.167252,2.151435,1250.090517,0.602266,0.356469
6,5830.299805,0.171773,2.059736,1137.093588,0.626885,0.453020
7,5607.789062,0.167016,2.057098,1049.742790,0.646591,0.470525
8,5435.416504,0.166875,2.017879,972.517820,0.661403,0.531016
9,5301.219727,0.159153,2.064711,903.342244,0.671966,0.579144
10,5185.711914,0.102033,2.232787,844.967729,0.680340,0.313444
11,5086.492188,0.100824,2.249651,794.293409,0.688451,0.374507
12,4993.114746,0.099989,2.254262,752.130119,0.695804,0.404807
13,4912.142578,0.099357,2.238090,714.171171,0.702054,0.451116
14,4844.405762,0.093331,2.270240,678.896037,0.706776,0.325298
15,4769.399414,0.100209,2.199198,651.226558,0.712431,0.404881
16,4700.778809,0.100693,2.165732,626.129391,0.717215,0.439450
17,4639.142578,0.100967,2.134472,602.846055,0.721906,0.468877
18,4586.620605,0.099103,2.158275,580.402684,0.725686,0.449708
19,4537.547852,0.097665,2.186218,559.898054,0.729177,0.509656
20,4490.104492,0.092066,2.165484,541.410446,0.732266,0.373517
21,4434.379395,0.098141,2.153379,526.885626,0.736610,0.492896
22,4390.318848,0.090363,2.176627,511.445781,0.739218,0.410365
23,4353.008301,0.096969,2.148910,496.136092,0.742317,0.454846
24,4311.097656,0.095301,2.153571,483.255653,0.744714,0.467702
25,4279.417480,0.089265,2.177802,469.511402,0.747145,0.453313
26,4230.968262,0.091756,2.140898,460.316046,0.750369,0.441454
27,4201.962891,0.093985,2.160601,448.212054,0.752711,0.493252
28,4165.436035,0.091516,2.153782,438.521180,0.754790,0.448175
29,4137.661621,0.090059,2.198505,427.993739,0.757105,0.476691
30,4105.871582,0.089800,2.133699,418.996757,0.759123,0.446736
