dim,T@15,T@30,T@50,C@15,C@30,C@50,Q_NX@15,Jacc@15,Q_NX@30,Jacc@30,Q_NX@50,Jacc@50,LCMC_AUC@Kmax,LCMC_k_at_max,Spearman_rho,Pearson_r,Stress1_norm
4,0.9692729627591872,0.9639407331751562,0.958928694051676,0.9726176490879348,0.9656877093486947,0.959618158860676,0.28655902990666937,0.1795363509352597,0.3191838681109067,0.20171325552558184,0.3421786225219702,0.21799962096325387,0.29180463010892543,50,0.6116292202528653,0.6135942780391876,0.32368608456613834
6,0.974590036749218,0.969029042602325,0.9635937580783002,0.9744456982903004,0.9677321286065407,0.9617958347038655,0.29904625655698625,0.18787432145782348,0.32913686218407245,0.20832688766706173,0.3507214387901083,0.22379497997939798,0.3028782991685078,50,0.6138342491346883,0.61380643699975,0.321025551738784
8,0.9744039918142545,0.968940833555767,0.9634629084655593,0.9742854301485712,0.9675401671676902,0.96158281198388,0.2979767014101778,0.18721860657718975,0.3286906465018053,0.2080667414081133,0.35078888207643577,0.22394566590292114,0.30258973947308354,50,0.6105166329254046,0.6090314687671632,0.32416366974170396
12,0.9748866655994777,0.9691971830105762,0.9637841472197893,0.9741984124506998,0.9674352415409455,0.9614430882572863,0.2991756931671095,0.18807245785176488,0.32980788882076434,0.20901014130585294,0.35064173308808505,0.22379965224640125,0.3033501185873768,50,0.6101884295589962,0.6087880876234494,0.32471995086378375
16,0.9744773825124488,0.9690838597527915,0.9636541068511373,0.9743409548167725,0.9676167935401704,0.9616760084899281,0.29876013352408204,0.18785189989478354,0.3300940118536685,0.20924238015795357,0.35114449213161664,0.2242041514387235,0.30328236848218715,50,0.6112297401902851,0.6103866608685012,0.3232080178250991
20,0.9746183269559826,0.9691060116781625,0.9636831710262246,0.9742870057420614,0.9675500677977396,0.9615710725776928,0.298848695415219,0.18789074739382378,0.3291845493562232,0.2084213118735571,0.35087471898630695,0.22400856683862327,0.3029992575754855,50,0.610514337277275,0.6096839442106644,0.32368849987893383
25,0.9744520969582833,0.968947407865068,0.9636790803973269,0.9742268861743325,0.967458633842651,0.9614768296316941,0.29923700524558894,0.18817049449007925,0.32941617276381224,0.20858024074323675,0.35147148988350707,0.22445589040855504,0.3031823745210305,50,0.611260857666198,0.6099849226300413,0.3238907258642185
30,0.9745663805178157,0.969129731646241,0.9638041465982814,0.9743113234715276,0.9675671095964182,0.9615986277072359,0.2984195108658628,0.18747359527311686,0.33000204373594927,0.20918309890323233,0.351211935417944,0.22424233865533538,0.3029877138635576,50,0.6104762545275355,0.6096487768710708,0.3236256056762588
